,hotel_name,hotel_type,hotel_address,hotel_area,hotel_lat,hotel_lon,hotel_price($)
0,"mesm Tokyo, Autograph Collection",Hotel,"1-10-30 Kaigan, Minato-ku, Tokyo, Japan",Kaigan,35.65688,139.76185,459
1,BESPOKE HOTEL Shinjuku,Hotel,"2-2-17 Kabukicho, Tokyo, Tokyo, 160-0021, Japan",Shinjuku,35.696016,139.706942,41
2,SHIBUYA HOTEL EN,Hotel,"1-1 Maruyama-cho, Shibuya-ku, Tokyo, Tokyo-to, 150-0044, Japan",Dogenzaka,35.659811,139.695494,52
3,HOTEL MUSSE GINZA MEITETSU,Hotel,"7-12-9 Ginza, Chuo-ku, Tokyo, Tokyo, 104-0061, Japan",Ginza,35.66774,139.763592,76
4,Best Western Hotel Fino Tokyo Akihabara,Hotel,"5-1-6 Ueno, Taitol-ku, Tokyo, Tokyo, 110-0005, Japan","Ueno, Tokyo (prefecture), Japan",35.703177,139.775658,38
5,Sotetsu Fresa Inn Tokyo-Roppongi,Hotel,"3-10-1 Roppongi, Minato-ku, Tokyo, Tokyo, 106-0032, Japan",Roppongi,35.66326,139.73361,47
6,HOTEL MYSTAYS PREMIER Akasaka,Hotel,"2-17-54 Akasaka, Minato, Tokyo, 107-0052, Japan",Akasaka,35.670075,139.73856,39
7,HOTEL FELICE AKASAKA,Hotel,"3-12-5 Akasaka, Minato-ku, Tokyo, Tokyo, 107-0052, Japan",Akasaka,35.673692,139.737946,40
8,HOTEL SUI KANDA byABEST,Hotel,"1-9-15 Kajicho, Chiyoda-ku, Tokyo, Tokyo, 101-0044, Japan",Kajicho,35.690601,139.773299,45
9,Onyado Nono Asakusa Natural Hot Springs,Hotel,"2-7-20, Asakusa, Taito, Tokyo, Tokyo, 111-0032, Japan",Asakusa,35.714417,139.794312,41
10,Shibuya Tokyu REI Hotel,Hotel,"1-24-10 Shibuya, Tokyo, Tokyo-to, 150-0002, Japan",Shibuya,35.660275,139.702275,74
11,HOTEL EMIT SHIBUYA,Hotel,"1-8-11 Jinnan, Shibuya-ku, Tokyo, Tokyo, 150-0041, Japan",Shibuya,35.664179,139.70007,35
12,karaksa hotel TOKYO STATION,Hotel,"1-Chome 5-3 Yaesu, Chuo, Tokyo, Tokyo, 103-0028, Japan",Yaesu,35.682116,139.771194,56
13,Hotel MyStays Asakusa-bashi,Hotel,"1-5-5, Asakusabashi, Taito-ku, Tokyo, Tokyo-to, 111-0053, Japan",Asakusabashi,35.697162,139.783486,29
14,Cotoha HOTEL OKACHIMACHI,Hotel,"4-5-12, Taito, Tokyo, Tokyo, 110-0016, Japan",Ueno,35.706036,139.778642,29
15,Hotel Gracery Ginza,Hotel,"7-10-1 Ginza, Chuo-ku, Tokyo, Tokyo-to, 104-0061, Japan",Ginza,35.669052,139.763639,55
16,Mitsui Garden Hotel Otemachi,Hotel,"2-1-2 Uchi-Kanda, Chiyoda-ku, Tokyo, Tokyo, 101-0047, Japan",Uchikanda,35.689242,139.767002,100
17,Hotel Sardonyx Tokyo,Hotel,"1-13-7 Hacchobori, Chuo-ku, Tokyo, Tokyo-to, 104-0032, Japan",Hatchobori,35.676559,139.778498,54
18,Akihabara Washington Hotel,Hotel,"1-8-3 Sakumacho, Kanda, Chiyoda-ku, Tokyo, Tokyo-to, 101-0025, Japan",Kanda Sakumacho,35.697507,139.773775,52
19,Book Tea Bed SHINJUKU-GYOEN,Hotel,"1-12-8 Shinjuku, Tokyo, Tokyo, 160-0022, Japan",Shinjuku,35.689008,139.712093,32
20,Tokyu Stay Shinjuku,Hotel,"3-7 Shinjuku, Tokyo, Tokyo-to, 160-0022, Japan",Shinjuku,35.690707,139.706128,59
21,HOTEL INTERGATE TOKYO KYOBASHI,Hotel,"3-7-8 Kyobashi, Chuo-ku, Tokyo, Tokyo, 104-0031, Japan",Kyobashi,35.675631,139.770992,64
22,Mitsui Garden Hotel Kyobashi,Hotel,"1-3-6 Kyobashi, Chuo-ku, Tokyo, 104-0031, Japan",Chuo,35.678288,139.770967,124
23,Tokyu Stay Ginza,Hotel,"4-10-5 Ginza, Chuo-ku, Tokyo, Tokyo-to, 104-0061, Japan",Ginza,35.670408,139.76731,79
24,Candeo Hotels Tokyo Roppongi,Hotel,"6-7-11 Roppongi, Minato-ku, Tokyo, 106-0032, Japan",Roppongi,35.662065,139.732629,82
25,Centurion Hotel Grand Akasaka,Hotel,"3-19-3 Akasaka, Minato-ku, Tokyo, Tokyo-to, 107-0052, Japan",Akasaka,35.675907,139.736561,43
26,Tokyu Stay Shimbashi,Hotel,"4-23-1 Shimbashi Minato-ku, Tokyo, Tokyo-to, 105-0004, Japan",Shinbashi,35.663661,139.757073,51
27,APA Hotel Keisei Ueno-Ekimae,Hotel,"2 Chrome-14-26, Ueno, Taito-ku, Tokyo, Tokyo-to, 110-0005, Japan","Ueno, Tokyo (prefecture), Japan",35.711407,139.773139,38
28,Dormy Inn Premium Shibuya Jingumae Hot Spring,Hotel,"6-24-4 Jingumae, Shibuya-ku, Tokyo, Tokyo-to, 150-0001, Japan",Jingumae,35.665608,139.702366,71
29,Shinjuku Granbell Hotel,Hotel,"2-14-5 Kabuki-cho, Shinjuku, Tokyo, Tokyo-to, 160-0021, Japan",Shinjuku,35.696555,139.705315,76
30,the b tokyo roppongi,Hotel,"3-9-8 Roppongi, Minato-ku, Tokyo, Tokyo-to, 106-0032, Japan",Roppongi,35.663734,139.733559,45
31,karaksa hotel premier Tokyo Ginza,Hotel,"1-6-6 Shimbashi, Minato-ku, Tokyo, Tokyo, 105-0004, Japan",Shiodome,35.667005,139.761513,101
32,Hotel Vista Premio Tokyo Akasaka,Hotel,"4-3, Akasaka, Minato, Tokyo, Tokyo, 107-0052, Japan",Akasaka,35.675187,139.735985,74
33,APA Hotel Ginza-Kyobashi,Hotel,"3-6-7 Kyobashi, Chuo-City, Tokyo, Tokyo-to, 104-0031, Japan",Kyobashi,35.675304,139.770585,38
34,Mitsui Garden Hotel Shiodome Italia-gai,Hotel,"2-14-24 Higashi-Shimbashi, Minato-ku, Tokyo, Tokyo-to, 105-0021, Japan",Shinbashi,35.660207,139.756739,71
35,APA Hotel Shinjuku Kabukicho Tower,Hotel,"1-20-2 Kabukicho, Shinjuku, Tokyo, 160-0021, Japan",Shinjuku,35.696126,139.701285,38
36,Hotel Villa Fontaine Grand Tokyo-Shiodome,Hotel,"1-9-2 Higashi-shinbashi, Minato-ku, Tokyo, Tokyo-to, 105-0021, Japan",Shiodome,35.661877,139.759296,82
37,Business Hotel Shin-Okubo Sekitei,Hotel,"2-15-10 Hyakunincho, Shinjuku-ku, Tokyo, 169-0073, Japan",Hyakunincho,35.702811,139.698578,24
38,ACT HOTEL ROPPONGI,Hotel,"7-17-15 Roppongi, Minato-ku, Tokyo, Tokyo, 106-0032, Japan",Roppongi,35.662397,139.72952,37
39,DDD HOTEL,Hotel,"2-2-1 Bakurochou, Nihonbashi, Tokyo, Tokyo, 103-0002, Japan",Nihonbashi,35.695083,139.783346,57
40,Centurion Hotel & Spa Ueno Station,Hotel,"6-8-16 Ueno Taito-ku, Tokyo, Tokyo-to, 110-0005, Japan","Ueno, Tokyo (prefecture), Japan",35.709874,139.775514,41
41,KEIKYU EX HOTEL SHINAGAWA (EX KEIKYU EX INN Shinagawa-Station),Hotel,"3-13-3 Takanawa, Minato-ku, Tokyo, 108-0074, Japan",Shinagawa,35.629821,139.736328,90
42,ICI HOTEL Ueno Shin-Okachimachi,Hotel,"4-23, Taito, Taito-ku, Tokyo, Tokyo, 110-0016, Japan",Ueno,35.70623,139.78155,43
43,Ueno Hotel,Hotel,"7-12-9 Ueno, Taito-ku, Tokyo, Tokyo-to, 110-0005, Japan",Ueno,35.716165,139.780399,34
44,Shibuya Excel Hotel Tokyu,Hotel,"1-12-2, Dogenzaka, Shibuya-ku, Tokyo, Tokyo-to, 150-0043, Japan",Dogenzaka,35.65848,139.699906,150
45,Dormy Inn Premium Kanda,Hotel,"1-16 Suda-cho, Kanda, Chiyoda-ku, Tokyo, 101-0041, Japan",Kanda Sudacho,35.695168,139.770315,74
46,Hotel MyStays Hamamatsucho,Hotel,"1-18-14, Hamamatsucho, Minato-ku, Tokyo, Tokyo-to, 105-0013, Japan",Hamamatsucho,35.658111,139.75495,40
47,Hotel Villa Fontaine Tokyo-Hamamatsucho,Hotel,"1-6-5 Shiba, Minato-ku, Tokyo, Tokyo-to, 105-0014, Japan",Shiba,35.652036,139.755121,59
48,Hotel Wing International Select Ueno Okachimachi,Hotel,"2-18-4, Higashiueno, Taito-ku, Tokyo, Tokyo, 110-0015, Japan",Higashiueno,35.709915,139.776745,48
49,Best Hotel,Hotel,"1-2-3 Hyakunincho, Shinjuku, Tokyo, 169-0073, Japan",Hyakunincho,35.699171,139.701386,27
50,Tokyo Green Hotel Korakuen,Hotel,"1-1-3 Kouraku, Bunkyo-ku, Tokyo, Tokyo-to, 112-0004, Japan",Korakuen,35.70279,139.75263,46
51,Centurion Hotel Ueno,Hotel,"2-3-4 Ueno, Taito-ku, Tokyo, Tokyo-to, 110-0005, Japan",Yushima,35.708405,139.771532,34
52,JR-EAST HOTEL METS AKIHABARA,Hotel,"1-17-4 Sotokanda, Chiyoda, Tokyo, Tokyo, 101-0021, Japan",Chiyoda,35.698046,139.772541,68
53,APA Hotel Higashi Shinjuku Kabukicho-Higashi,Hotel,"2-17-7, Kabukicho, Shinjuku-ku, Tokyo, Tokyo-to, 160-0021, Japan",Shinjuku,35.698096,139.705043,38
54,ICI HOTEL ASAKUSABASHI,Hotel,"1-26-6, Asakusabashi, Taito-ku, Tokyo, Tokyo, 111-0053, Japan",Asakusabashi,35.698321,139.783571,47
55,Hotel Metropolitan Tokyo Marunouchi,Hotel,"1-7-12 Marunouchi, Chiyoda, Tokyo, Tokyo-to, 100-0005, Japan",Nihonbashi,35.683739,139.769404,166
56,Henn na Hotel Tokyo Akasaka,Hotel,"2-6-14 Akasaka, Minato-ku, Tokyo, Tokyo, 107-0052, Japan",Akasaka,35.67206,139.739047,37
57,Ryogoku View Hotel,Hotel,"2-19-1 Ryogoku, Samida District, Tokyo, 130-0026, Japan",Ryogoku,35.695358,139.791864,43
58,HOTEL LiVEMAX Shinjuku Kabukicho,Hotel,"2-33-3 Kabukicho, Shinjuku, Tokyo, Tokyo, 160-0021, Japan",Shinjuku,35.697097,139.70266,29
59,NEST HOTEL TOKYO HANZOMON,Hotel,"2-18 Hayabusacho, Chiyoda-ku, Tokyo, Tokyo, 102-0092, Japan",Hayabusacho,35.68339,139.741984,35
60,HAMACHO HOTEL TOKYO NIHONBASHI,Hotel,"3-20-2 Nihonbashihamacho, Tokyo, Tokyo, 103-0007, Japan",Nihonbashi,35.684675,139.789342,85
61,Hotel Wing International Korakuen,Hotel,"1-25-11 Hongou Bunkyou-ku, Tokyo, Tokyo-to, 113-0033, Japan",Suidobashi,35.705554,139.755872,32
62,Hotel Empire in Shinjuku,Hotel,"1-15-33 Hyakunincho, Shinjuku-ku, Tokyo, Tokyo-to, 169-0073, Japan",Hyakunincho,35.699996,139.698985,22
63,The Royal Park Hotel Iconic Tokyo Shiodome,Hotel,"1-6-3 Higashi-Shimbashi, Minato-ku, Tokyo, Tokyo, 105-8333, Japan",Shiodome,35.66408,139.76092,131
64,remm Roppongi,Hotel,"7-14-4 Roppongi, Minato-ku, Tokyo, 106-0032, Japan",Roppongi,35.664018,139.7315,91
65,Amanek Ginza East,Hotel,"2-4-13, Shintomi, Tokyo, Tokyo, 104-0041, Japan",Chuo,35.671503,139.773161,39
66,Hotel Villa Fontaine Tokyo-Otemachi,Hotel,"1-8-8 Uchi Kanda, Chiyoda-ku, Tokyo, Tokyo-to, 101-0047, Japan",Uchikanda,35.690508,139.767083,58
67,APA Hotel Akihabaraeki Denkigaiguchi,Hotel,"3-11-4, Soto-Kanda, Chiyoda, Tokyo, Tokyo, 101-0021, Japan",Chiyoda,35.700718,139.770428,33
68,Hotel The Celestine Tokyo Shiba,Hotel,"3-23-1 Shiba, Minato-ku, Tokyo, Tokyo-to, 105-0014, Japan",Shiba,35.651515,139.749046,122
69,APA HOTEL ROPPONGI-EKIMAE,Hotel,"6-7-8, Roppongi, Minato-ku, Tokyo, 106-0032, Japan",Roppongi,35.662454,139.732296,38
70,Sotetsu Fresa Inn Tokyo-Akasaka,Hotel,"6-3-17 Akasaka, Minato-ku, Tokyo, Tokyo-to, 107-0052, Japan",Akasaka,35.67128,139.73541,50
71,APA Hotel <Yamanote Otsuka Eki Tower>,Hotel,"3-31-10, Minami Otsuka, Toshima, Tokyo, Tokyo, 170-0005, Japan",Minamiotsuka,35.731373,139.726498,38
72,Tokyu Stay Shibuya Shin-minamiguchi,Hotel,"Shibuya 3-26-21, Shibuya-ku, Tokyo, Tokyo-to, 150-0002, Japan",Shibuya,35.654681,139.704993,56
73,Dormy Inn Ueno Okachimachi Hot Spring,Hotel,"6-7-22, Ueno, Taito-ku, Tokyo, Tokyo-to, 110-0005, Japan","Ueno, Tokyo (prefecture), Japan",35.709542,139.776329,48
74,APA Hotel Hatchobori Shintomicho,Hotel,"1-17-8, Shintomi, Chuo-ku, Tokyo, Tokyo, 104-0041, Japan",Chuo,35.671799,139.775146,38
75,APA Hotel Nihombashi Bakurocho-Ekimae,Hotel,"1-6-6 Nihonbashi Bakucho Chuo-ku, Tokyo, Tokyo, 103-0002, Japan",Nihonbashi,35.693149,139.782344,38
76,Hotel MyStays Kamata,Hotel,"5-46-5, Kamata, Ota-ku, Tokyo, Tokyo-to, 144-0052, Japan",Kamata,35.559951,139.715709,31
77,Centurion Hotel Ikebukuro,Hotel,"1-8-9 Higashi Ikebukuro, Toshima, Tokyo, Tokyo-to, 170-0013, Japan",Toshima,35.731773,139.714647,36
