area,main_category,count_num
Adachi City,Arts & Entertainment,2
Adachi City,Food,11
Adachi City,Outdoors & Recreation,8
Adachi City,Shop & Service,22
Akiruno,Arts & Entertainment,3
Akiruno,Food,6
Akiruno,Outdoors & Recreation,2
Akiruno,Shop & Service,31
Akiruno,Travel & Transport,1
Akishima,Arts & Entertainment,6
Akishima,Food,14
Akishima,Nightlife Spot,1
Akishima,Outdoors & Recreation,5
Akishima,Shop & Service,17
Arakawa City,Arts & Entertainment,10
Arakawa City,Food,11
Arakawa City,Nightlife Spot,2
Arakawa City,Outdoors & Recreation,7
Arakawa City,Professional & Other Places,3
Arakawa City,Shop & Service,14
Bunkyo City,Arts & Entertainment,10
Bunkyo City,Food,9
Bunkyo City,Nightlife Spot,1
Bunkyo City,Outdoors & Recreation,6
Bunkyo City,Professional & Other Places,2
Bunkyo City,Shop & Service,10
Chiyoda City,Arts & Entertainment,13
Chiyoda City,Food,4
Chiyoda City,Nightlife Spot,1
Chiyoda City,Outdoors & Recreation,8
Chiyoda City,Professional & Other Places,4
Chiyoda City,Shop & Service,7
Chofu,Arts & Entertainment,3
Chofu,Food,9
Chofu,Outdoors & Recreation,8
Chofu,Shop & Service,16
Chuo City,Arts & Entertainment,13
Chuo City,Food,5
Chuo City,Nightlife Spot,1
Chuo City,Outdoors & Recreation,5
Chuo City,Professional & Other Places,5
Chuo City,Shop & Service,7
Edogawa City,Arts & Entertainment,1
Edogawa City,Food,11
Edogawa City,Outdoors & Recreation,10
Edogawa City,Shop & Service,20
Edogawa City,Travel & Transport,1
Fuchu,Arts & Entertainment,4
Fuchu,Food,9
Fuchu,Nightlife Spot,1
Fuchu,Outdoors & Recreation,9
Fuchu,Shop & Service,14
Fussa,Arts & Entertainment,2
Fussa,Food,9
Fussa,Outdoors & Recreation,2
Fussa,Shop & Service,31
Hachioji,Arts & Entertainment,1
Hachioji,Food,8
Hachioji,Outdoors & Recreation,3
Hachioji,Shop & Service,34
Hamura,Arts & Entertainment,3
Hamura,Food,8
Hamura,Outdoors & Recreation,4
Hamura,Shop & Service,32
Higashikurume,Food,9
Higashikurume,Nightlife Spot,1
Higashikurume,Outdoors & Recreation,6
Higashikurume,Shop & Service,31
Higashimurayama,Arts & Entertainment,4
Higashimurayama,Food,11
Higashimurayama,Nightlife Spot,1
Higashimurayama,Outdoors & Recreation,5
Higashimurayama,Shop & Service,25
Higashiyamato,Arts & Entertainment,2
Higashiyamato,Food,5
Higashiyamato,Nightlife Spot,1
Higashiyamato,Outdoors & Recreation,5
Higashiyamato,Shop & Service,31
Hino,Arts & Entertainment,4
Hino,Food,18
Hino,Nightlife Spot,1
Hino,Outdoors & Recreation,3
Hino,Shop & Service,18
Hinode,Arts & Entertainment,1
Hinode,Food,13
Hinode,Outdoors & Recreation,2
Hinode,Shop & Service,30
Inagi,Arts & Entertainment,7
Inagi,Food,10
Inagi,Nightlife Spot,1
Inagi,Outdoors & Recreation,6
Inagi,Shop & Service,15
Inagi-shi,Arts & Entertainment,8
Inagi-shi,Food,9
Inagi-shi,Nightlife Spot,1
Inagi-shi,Outdoors & Recreation,8
Inagi-shi,Shop & Service,14
Itabashi City,Arts & Entertainment,3
Itabashi City,Food,16
Itabashi City,Nightlife Spot,3
Itabashi City,Outdoors & Recreation,12
Itabashi City,Shop & Service,11
Katsushika City,Arts & Entertainment,1
Katsushika City,Food,12
Katsushika City,Nightlife Spot,2
Katsushika City,Outdoors & Recreation,9
Katsushika City,Shop & Service,21
Kita City,Arts & Entertainment,6
Kita City,Food,15
Kita City,Nightlife Spot,3
Kita City,Outdoors & Recreation,9
Kita City,Shop & Service,10
